,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.842,19.35,19.0,19.44,19.0,19.0,1692173,1.4689,32610215,66.724,3.361,557280.0,222912.0
1,603998,方盛制药,3.84,13.79,13.39,14.14,13.32,13.28,2189430,0.81338,30088065,86.187,6.31,597116.26688,371195.38638
2,603997,继峰股份,0.0,14.36,0.0,0.0,0.0,14.36,0,0.0,0,24.339,3.762,904680.0,245556.0
3,603996,中新科技,-0.697,17.1,17.21,17.35,17.05,17.22,1607243,1.55627,27625308,43.846,3.673,513256.5,176600.25
4,603993,洛阳钼业,0.743,4.07,4.04,4.09,4.03,4.04,28560300,0.22048,116141034,67.833,3.555,6873089.87049,5272168.39449
5,603991,至正股份,6.769,37.7,36.2,38.79,35.51,35.31,2312109,12.36422,86290152,56.269,6.531,280996.94246,70499.0
6,603990,麦迪科技,0.482,37.52,37.85,38.5,37.42,37.34,410568,2.05284,15555593,50.027,7.661,300160.0,75040.0
7,603989,XD艾华集,2.334,36.39,35.6,36.58,35.21,35.56,1583345,1.87656,57422233,41.352,5.876,1091700.0,307040.625
8,603988,中电电机,0.52,59.98,59.5,60.58,59.0,59.67,219033,0.97783,13062736,199.933,7.326,479840.0,134355.2
9,603987,康德莱,1.565,23.37,23.32,23.56,23.18,23.01,1050620,1.99738,24557751,37.694,4.226,491447.73,122926.2
10,603986,兆易创新,1.109,90.25,90.3,93.15,90.0,89.26,1552737,3.10547,141855665,42.629,6.705,1805000.0,451250.0
11,603985,恒润股份,-0.23,47.7,48.92,49.1,47.41,47.81,2618938,13.09469,126880222,30.217,6.235,381600.0,95400.0
12,603979,金诚信,1.111,17.29,17.08,17.32,17.08,17.1,2919092,1.6224,50345638,41.167,2.086,778050.0,311089.9792
13,603977,国泰集团,-0.059,16.88,16.93,17.15,16.7,16.89,4875803,8.82019,82785868,28.61,3.744,373183.04,93312.64
14,603969,银龙股份,0.049,20.46,20.25,20.9,20.18,20.45,15206676,9.96307,313071179,56.833,5.034,818400.0,312282.003
15,603968,醋化股份,1.794,21.0,20.65,21.12,20.65,20.63,1219878,0.89303,25505966,29.167,3.271,429408.0,286860.0
16,603966,法兰泰克,0.671,22.5,22.56,22.98,22.38,22.35,2975510,7.43878,67486847,47.872,4.632,360000.0,90000.0
17,603960,克来机电,-0.301,39.77,40.5,40.9,39.52,39.89,1180600,5.903,47463718,66.283,7.713,318160.0,79540.0
18,603959,百利科技,2.331,17.12,16.75,17.3,16.73,16.73,1354308,1.27285,23164981,32.302,4.337,383488.0,182156.8
19,603958,哈森股份,1.555,39.18,38.6,40.0,38.0,38.58,4259821,7.83663,167065570,92.624,7.044,851616.48,212974.040628
20,603955,大千生态,1.72,40.81,40.94,41.97,40.35,40.12,1051005,4.83221,43163683,38.226,3.607,355047.0,88761.75
21,603939,益丰药房,0.631,30.28,30.09,30.87,30.07,30.09,1125800,0.72163,34337052,45.671,3.622,1098239.42442,472392.224
